taxa	name	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+	# unique markers (of 43)	# multi-copy	Insertion branch UID	Taxonomy (contained)	Taxonomy (sister lineage)	GC	Genome size (Mbp)	Gene count	Coding density	Translation table	# descendant genomes	Lineage: GC mean	Lineage: GC std	Lineage: genome size (Mbp) mean	Lineage: genome size (Mbp) std	Lineage: gene count mean	Lineage: gene count std
KR13_N2.037.2k	KR13_N2.037.2k	k__Bacteria (UID1452)	924	160	109	91.74	13.03	5.26	5358958	0	968	968	7072	7072	5536	5536	74358	74358		2.95			5569	10	136	13	0	1	0	40	0	UID2309	k__Bacteria;p__Chloroflexi	unresolved		5.358958	5569			14.0	58.5159979235	4.80948739763	4.70641157143	1.0439035214	3933.14285714	717.1834649860001
KR13_N2.038.2k	KR13_N2.038.2k	k__Bacteria (UID1452)	924	151	101	15.42	0.5	0.0	539960	0	54	54	20335	20335	9999	9999	68278	68278		1.61			566	106	44	1	0	0	0	27	0	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi		0.53996	566			8.0	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
KR13_N2.039.2k	KR13_N2.039.2k	k__Bacteria (UID203)	5449	103	57	69.14	25.92	3.12	1642279	0	176	176	17976	17976	9331	9331	62313	62313		3.14			1745	25	46	32	0	0	0	20	14	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi		1.642279	1745			8.0	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
KR13_N2.040.2k	KR13_N2.040.2k	c__Deltaproteobacteria (UID3218)	61	284	169	11.62	0.0	0.0	767133	0	131	131	6686	6686	5855	5855	20409	20409		4.05			829	243	41	0	0	0	0	11	0	UID3270	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	s__Desulfovibrio_aespoeensis		0.767133	829			2.0	63.8834078513	1.32144016174	3.744046	0.11493699999999998	3469.5	64.5
KR13_N2.041.2k	KR13_N2.041.2k	k__Bacteria (UID203)	5449	102	56	91.96	24.51	8.0	2664868	0	467	467	6638	6638	5706	5706	43014	43014		2.86			2880	7	45	50	0	0	0	10	30	UID3222	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae	unresolved		2.6648680000000002	2880			10.0	47.573190738	4.42758846031	4.9265228	0.75252118178	4496.4	598.472422088
KR13_N2.042.2k	KR13_N2.042.2k	k__Bacteria (UID2495)	2993	143	89	39.14	3.37	0.0	490104	0	78	78	8488	8488	6283	6283	43498	43498		1.93			529	73	67	3	0	0	0	25	0	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__		0.490104	529			72.0	38.969742160500005	10.3693638763	2.60865927778	1.0341579159999998	2440.63888889	952.6666419630001
KR13_N2.043.2k	KR13_N2.043.2k	k__Bacteria (UID2565)	2921	152	93	86.01	24.52	5.56	1903354	0	217	217	14856	14856	8771	8771	38640	38640		2.57			2111	21	99	30	2	0	0	28	7	UID2982	k__Bacteria	p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae		1.903354	2111			88.0	44.228229498299996	7.813765989760001	2.42188205682	2.1921334645400004	2142.11363636	1851.65080175
KR13_N2.044.2k	KR13_N2.044.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	135593	0	33	33	4095	4095	4108	4108	11896	11896		3.63			220	56	0	0	0	0	0	0	0			unresolved		0.13559300000000002	220									
KR13_N2.045.2k	KR13_N2.045.2k	k__Bacteria (UID203)	5449	104	58	10.66	1.72	100.0	175673	0	25	25	21222	21222	7026	7026	40567	40567		2.05			206	95	8	1	0	0	0	4	0	UID2568	k__Bacteria	unresolved		0.175673	206			436.0	42.2081506989	6.715633826	4.14457510321	1.5151722667899998	3609.14908257	1218.06297885
KR13_N2.046.2k	KR13_N2.046.2k	k__Bacteria (UID2329)	174	149	89	67.78	15.41	4.76	970600	0	138	138	11163	11163	7033	7033	43495	43495		1.69			1100	40	90	18	1	0	0	28	6	UID2329	k__Bacteria	p__Tenericutes;c__Mollicutes		0.9706	1100			174.0	29.3511519692	4.74536573391	1.46226449425	0.950537413827	1377.33908046	1002.10203496
KR13_N2.047.2k	KR13_N2.047.2k	k__Bacteria (UID203)	5449	103	57	73.98	12.81	0.0	1990340	0	296	296	9858	9858	6724	6724	103205	103205		4.44			2280	17	63	23	0	0	0	26	12	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi		1.9903400000000002	2280			8.0	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
KR13_N2.048.2k	KR13_N2.048.2k	k__Bacteria (UID1452)	924	151	101	71.29	0.99	0.0	1409320	0	33	33	209049	209049	42706	42706	565246	565246		2.89			1293	33	117	1	0	0	0	40	0	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	unresolved		1.4093200000000001	1293			8.0	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
KR13_N2.049.2k	KR13_N2.049.2k	k__Bacteria (UID1452)	924	151	101	53.93	6.93	0.0	813679	0	83	83	22388	22388	9803	9803	131986	131986		1.98			919	70	73	8	0	0	0	18	4	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi		0.813679	919			8.0	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
KR13_N2.050.2k	KR13_N2.050.2k	k__Bacteria (UID203)	5449	104	58	59.48	41.66	0.0	2761629	0	463	463	8701	8701	5964	5964	63252	63252		2.74			2990	28	34	26	6	7	3	20	20	UID2981	k__Bacteria	p__Cloacimonetes;c__Candidatus_Cloacamonas;o__Candidatus_Cloacamonas;f__Candidatus_Cloacamonas;g__Candidatus_Cloacamonas;s__Candidatus_Cloacamonas_acidaminovorans		2.761629	2990			2.0	42.962686276099994	5.0891583566000005	3.0447275	0.7979075	2528.5	659.5
KR13_N2.051.2k	KR13_N2.051.2k	k__Bacteria (UID203)	5449	104	58	30.8	26.8	0.0	1365562	0	291	291	5184	5184	4692	4692	33489	33489		10.53			1661	57	18	6	15	8	0	10	22	UID2567	k__Bacteria	p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__Gemmatimonas_aurantiaca		1.3655620000000002	1661			437.0	42.2586454603	6.79030286123	4.14570185126	1.5136205274399999	3610.01372998	1216.80246458
KR13_N2.052.2k	KR13_N2.052.2k	c__Deltaproteobacteria (UID3216)	83	247	155	79.96	16.86	23.53	3162719	0	532	532	7677	7677	5944	5944	34269	34269		3.68			3191	49	160	35	2	0	1	28	8	UID3219	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae	unresolved		3.162719	3191			15.0	51.015574710600006	6.532417187209999	4.96796686667	0.93795073881	4432.0	724.7463004389999
KR13_N2.053.2k	KR13_N2.053.2k	c__Deltaproteobacteria (UID3216)	83	247	155	86.08	2.26	0.0	1864625	0	189	189	15141	15141	9865	9865	123705	123705		2.39			1890	25	218	4	0	0	0	41	0	UID3230	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae	g__Desulfosarcina;s__		1.864625	1890			2.0	48.0397321851	6.80738320489	4.041273	0.44070200000000004	3806.0	170.0
KR13_N2.054.2k	KR13_N2.054.2k	k__Bacteria (UID203)	5449	104	58	49.14	13.79	0.0	882068	0	152	152	8419	8419	5803	5803	93296	93296		2.42			1131	63	32	6	3	0	0	9	3	UID1	k__Bacteria (root)	k__Bacteria		0.8820680000000001	1131			5656.0	49.275266001400006	13.0081081425	3.76173456931	1.8165513491299998	3559.91760962	1650.82761538
KR13_N2.055.2k	KR13_N2.055.2k	k__Bacteria (UID2982)	88	230	148	87.44	6.53	7.14	2776095	0	493	493	7123	7123	5631	5631	46252	46252		4.05			2691	32	186	11	1	0	0	32	2	UID3047	k__Bacteria	p__Lentisphaerae;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__Victivallis_vadensis		2.776095	2691			13.0	57.5577008374	5.62263534464	4.93147930769	2.10484696641	4236.38461538	1609.1957159
KR13_N2.056.2k	KR13_N2.056.2k	k__Bacteria (UID203)	5449	104	58	58.07	34.39	21.28	1314512	0	300	300	4778	4778	4381	4381	26424	26424		1.61			1679	38	36	23	6	1	0	14	14	UID1	k__Bacteria (root)	k__Bacteria		1.3145120000000001	1679			5656.0	49.275266001400006	13.0081081425	3.76173456931	1.8165513491299998	3559.91760962	1650.82761538
KR13_N2.057.2k	KR13_N2.057.2k	c__Deltaproteobacteria (UID3216)	83	247	155	97.74	2.94	0.0	4435609	0	131	131	90541	90541	33859	33859	225334	225334		7.02			4063	4	229	14	0	0	0	36	7	UID3222	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae	unresolved		4.4356089999999995	4063			10.0	47.573190738	4.42758846031	4.9265228	0.75252118178	4496.4	598.472422088
KR13_N2.058.2k	KR13_N2.058.2k	k__Bacteria (UID209)	5443	105	59	54.85	21.34	16.67	657107	0	82	82	11541	11541	8013	8013	44985	44985		2.59			726	40	51	12	2	0	0	26	2	UID209	k__Bacteria	p__Thermotogae;c__Thermotogae;o__Thermotogales;f__Thermotogaceae		0.657107	726			5443.0	49.280278683199995	13.0437086269	3.8071638478800005	1.82606099193	3594.01377917	1662.99947452
KR13_N2.059.2k	KR13_N2.059.2k	k__Archaea (UID2)	207	149	107	75.93	24.77	0.0	4712495	0	1052	1052	4965	4965	4479	4479	44111	44111		1.94			5332	27	90	29	2	1	0	27	15	UID1	k__Archaea (root)	k__Archaea		4.712495	5332			5656.0	49.275266001400006	13.0081081425	3.76173456931	1.8165513491299998	3559.91760962	1650.82761538
KR13_N2.060.2k	KR13_N2.060.2k	k__Bacteria (UID203)	5449	104	58	26.38	6.32	0.0	637366	0	123	123	7149	7149	5181	5181	21658	21658		1.64			878	61	30	12	0	1	0	21	10	UID1	k__Bacteria (root)	k__Bacteria		0.637366	878			5656.0	49.275266001400006	13.0081081425	3.76173456931	1.8165513491299998	3559.91760962	1650.82761538
KR13_N2.061.2k	KR13_N2.061.2k	k__Bacteria (UID203)	5449	104	58	53.21	8.62	0.0	1068799	0	169	169	8809	8809	6324	6324	47081	47081		3.27			1248	48	51	4	1	0	0	21	1	UID1	k__Bacteria (root)	k__Bacteria		1.068799	1248			5656.0	49.275266001400006	13.0081081425	3.76173456931	1.8165513491299998	3559.91760962	1650.82761538
KR13_N2.062.2k	KR13_N2.062.2k	k__Bacteria (UID1452)	924	151	101	27.52	14.37	0.0	372643	0	95	95	4474	4474	3922	3922	15096	15096		1.58			460	96	34	19	2	0	0	13	7	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi		0.372643	460			8.0	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
KR13_N2.063.2k	KR13_N2.063.2k	k__Bacteria (UID203)	5449	100	55	82.73	19.17	0.0	1570225	0	151	151	18676	18676	10398	10398	59064	59064		2.84			1663	11	53	33	3	0	0	13	26	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__		1.570225	1663			72.0	38.969742160500005	10.3693638763	2.60865927778	1.0341579159999998	2440.63888889	952.6666419630001
KR13_N2.064.2k	KR13_N2.064.2k	c__Spirochaetia (UID2496)	72	215	125	63.75	16.53	0.0	1092418	0	96	96	25681	25681	11379	11379	73947	73947		1.88			1124	91	98	25	1	0	0	13	1	UID2502	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales	f__Spirochaetaceae		1.0924180000000001	1124			66.0	38.831279650999996	10.6533604201	2.5103984393900003	0.9650634856489999	2344.34848485	864.5581721919999
KR13_N2.065.2k	KR13_N2.065.2k	k__Archaea (UID2)	207	149	107	73.36	32.93	0.0	3461865	0	804	804	4684	4684	4305	4305	28634	28634		1.54			4160	36	68	37	8	0	0	14	16	UID1	k__Archaea (root)	k__Archaea		3.461865	4160			5656.0	49.275266001400006	13.0081081425	3.76173456931	1.8165513491299998	3559.91760962	1650.82761538
KR13_N2.066.2k	KR13_N2.066.2k	k__Bacteria (UID203)	5449	104	58	75.86	15.88	3.57	2782938	0	434	434	8433	8433	6412	6412	129315	129315		2.97			3009	15	63	25	1	0	0	22	19	UID1	k__Bacteria (root)	k__Bacteria		2.782938	3009			5656.0	49.275266001400006	13.0081081425	3.76173456931	1.8165513491299998	3559.91760962	1650.82761538
KR13_N2.067.2k	KR13_N2.067.2k	k__Bacteria (UID203)	5449	103	57	35.89	7.02	0.0	5037368	0	900	900	6920	6920	5597	5597	75427	75427		2.42			5340	74	25	4	0	0	0	9	0	UID3230	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae	g__Desulfosarcina;s__		5.037368	5340			2.0	48.0397321851	6.80738320489	4.041273	0.44070200000000004	3806.0	170.0
KR13_N2.068.2k	KR13_N2.068.2k	k__Bacteria (UID203)	5449	104	58	72.41	1.72	0.0	1110706	0	69	69	29978	29978	16097	16097	84008	84008		2.32			1186	55	48	1	0	0	0	8	0	UID2982	k__Bacteria	p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae		1.110706	1186			88.0	44.228229498299996	7.813765989760001	2.42188205682	2.1921334645400004	2142.11363636	1851.65080175
KR13_N2.069.2k	KR13_N2.069.2k	c__Deltaproteobacteria (UID3217)	62	280	168	96.03	0.02	0.0	4002344	0	355	355	17726	17726	11274	11274	79750	79750		3.78			3840	8	271	1	0	0	0	43	0	UID3235	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae	g__Desulfotalea;s__Desulfotalea_psychrophila		4.002344	3840			5.0	54.111367786	6.61115303754	4.4153047999999995	0.796783927483	3887.4	661.542621454
KR13_N2.070.2k	KR13_N2.070.2k	k__Bacteria (UID2565)	2921	142	87	96.48	2.59	66.67	4376181	0	382	382	17953	17953	11455	11455	58448	58448		2.93			4014	4	135	3	0	0	0	42	0	UID2986	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae	unresolved		4.376181	4014			8.0	55.281940249799995	2.11687846989	6.901072625	0.9916474280419999	5958.25	1082.44996998
KR13_N2.071.2k	KR13_N2.071.2k	k__Bacteria (UID1452)	924	161	108	55.04	26.49	8.0	2131680	0	311	311	12092	12092	6854	6854	90374	90374		1.45			2388	78	58	16	8	0	1	13	2	UID2307	k__Bacteria	p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae;g__Chthonomonas;s__Chthonomonas_calidirosea		2.13168	2388			23.0	55.9597818041	5.95590811758	3.9070339565199994	1.7333307660799997	3352.7826087	1254.52443636
KR13_N2.072.2k	KR13_N2.072.2k	k__Bacteria (UID203)	5449	103	57	23.54	0.0	0.0	3061025	0	1082	1082	2740	2740	2829	2829	22140	22140		3.98			3266	78	25	0	0	0	0	9	0	UID3291	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	f__Kofleriaceae;g__Haliangium;s__Haliangium_ochraceum		3.061025	3266			8.0	71.7531229546	2.85067973745	7.565088125	2.48322934779	6206.125	1736.82472039
KR13_N2.073.2k	KR13_N2.073.2k	k__Bacteria (UID1452)	924	151	101	60.89	3.41	0.0	908274	0	121	121	12541	12541	7506	7506	46599	46599		2.8			953	44	101	6	0	0	0	37	3	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi		0.908274	953			8.0	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
KR13_N2.074.2k	KR13_N2.074.2k	p__Euryarchaeota (UID49)	95	228	153	57.76	27.72	0.0	6943895	0	1588	1588	4851	4851	4372	4372	72621	72621		2.37			7114	85	110	25	3	2	3	26	7	UID60	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales	f__;g__;s__		6.9438949999999995	7114			11.0	41.0744786565	2.19916782413	3.2719419090900006	1.1229297856799998	3063.18181818	781.250957024
KR13_N2.075.2k	KR13_N2.075.2k	k__Bacteria (UID203)	5449	100	55	72.31	33.55	0.0	1397420	0	242	242	6773	6773	5774	5774	45412	45412		3.02			1525	23	43	22	12	0	0	17	16	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__		1.39742	1525			72.0	38.969742160500005	10.3693638763	2.60865927778	1.0341579159999998	2440.63888889	952.6666419630001
KR13_N2.076.2k	KR13_N2.076.2k	c__Deltaproteobacteria (UID3217)	62	280	168	99.36	1.64	0.0	5018091	0	213	213	38478	38478	23559	23559	149405	149405		2.99			4444	3	272	5	0	0	0	39	2	UID3234	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae	g__Desulfurivibrio;s__Desulfurivibrio_alkaliphilus		5.018091	4444			6.0	55.140524793400004	6.45899433359	4.195714499999999	0.8775838166140001	3694.83333333	741.6929770610001
KR13_N2.077.2k	KR13_N2.077.2k	k__Bacteria (UID203)	5449	104	58	48.98	16.55	0.0	2383235	0	598	598	4148	4148	3985	3985	52494	52494		1.91			2993	56	36	8	4	0	0	14	2	UID1	k__Bacteria (root)	k__Bacteria		2.383235	2993			5656.0	49.275266001400006	13.0081081425	3.76173456931	1.8165513491299998	3559.91760962	1650.82761538
KR13_N2.078.2k	KR13_N2.078.2k	k__Bacteria (UID2982)	88	230	148	94.93	7.69	0.0	4512132	0	331	331	22998	22998	13631	13631	83473	83473		3.36			3988	8	205	17	0	0	0	39	2	UID2993	k__Bacteria	p__Verrucomicrobia		4.512132	3988			77.0	42.9388897508	7.08947795852	1.8711955974	1.6729307037	1670.83116883	1381.87024973
KR13_N2.079.2k	KR13_N2.079.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	509081	0	116	116	4894	4894	4388	4388	29098	29098		6.88			878	56	0	0	0	0	0	0	0			unresolved		0.509081	878									
KR13_N2.080.2k	KR13_N2.080.2k	c__Spirochaetia (UID2496)	72	215	125	61.75	19.69	47.62	914057	0	186	186	5512	5512	4914	4914	21246	21246		1.48			1160	88	87	39	1	0	0	17	3	UID2502	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales	f__Spirochaetaceae		0.914057	1160			66.0	38.831279650999996	10.6533604201	2.5103984393900003	0.9650634856489999	2344.34848485	864.5581721919999
KR13_N2.081.2k	KR13_N2.081.2k	k__Bacteria (UID2565)	2921	152	93	91.16	6.45	0.0	1319646	0	101	101	28035	28035	13065	13065	115210	115210		2.26			1444	11	133	8	0	0	0	41	1	UID2982	k__Bacteria	p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae		1.3196459999999999	1444			88.0	44.228229498299996	7.813765989760001	2.42188205682	2.1921334645400004	2142.11363636	1851.65080175
KR13_N2.082.2k	KR13_N2.082.2k	k__Bacteria (UID2495)	2993	143	89	87.76	29.48	0.0	3300007	0	430	430	11703	11703	7674	7674	52707	52707		1.77			3166	28	83	31	1	0	0	25	4	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__		3.300007	3166			72.0	38.969742160500005	10.3693638763	2.60865927778	1.0341579159999998	2440.63888889	952.6666419630001
KR13_N2.083.2k	KR13_N2.083.2k	k__Bacteria (UID2495)	2993	143	89	81.36	13.42	15.79	1549284	0	351	351	4995	4995	4413	4413	23318	23318		3.4			1705	19	105	19	0	0	0	33	6	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__		1.549284	1705			72.0	38.969742160500005	10.3693638763	2.60865927778	1.0341579159999998	2440.63888889	952.6666419630001
KR13_N2.084.2k	KR13_N2.084.2k	k__Bacteria (UID1452)	924	163	110	54.32	11.77	0.0	4875254	0	1105	1105	4973	4973	4411	4411	45235	45235		4.08			5117	66	81	14	1	1	0	29	2	UID2310	k__Bacteria;p__Chloroflexi	c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Anaerolinea;s__Anaerolinea_thermophila		4.875254	5117			2.0	56.291185419799994	2.4415124799	4.335458	0.80308	3708.0	484.0
KR13_N2.085.2k	KR13_N2.085.2k	k__Bacteria (UID2565)	2921	152	93	87.64	3.23	0.0	1279801	0	195	195	7684	7684	6563	6563	30413	30413		1.91			1427	25	124	3	0	0	0	33	0	UID2982	k__Bacteria	p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae		1.279801	1427			88.0	44.228229498299996	7.813765989760001	2.42188205682	2.1921334645400004	2142.11363636	1851.65080175
KR13_N2.086.2k	KR13_N2.086.2k	k__Bacteria (UID2565)	2921	152	93	72.92	8.6	0.0	1761561	0	149	149	22123	22123	11822	11822	82079	82079		2.47			1766	39	103	10	0	0	0	32	2	UID2982	k__Bacteria	p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae		1.7615610000000002	1766			88.0	44.228229498299996	7.813765989760001	2.42188205682	2.1921334645400004	2142.11363636	1851.65080175
KR13_N2.087.2k	KR13_N2.087.2k	k__Bacteria (UID203)	5449	100	55	84.96	21.96	0.0	2724412	0	272	272	19513	19513	10016	10016	78419	78419		2.15			2580	12	57	28	3	0	0	20	17	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__		2.724412	2580			72.0	38.969742160500005	10.3693638763	2.60865927778	1.0341579159999998	2440.63888889	952.6666419630001
KR13_N2.088.2k	KR13_N2.088.2k	k__Bacteria (UID2565)	2921	152	93	90.86	2.15	0.0	1549277	0	72	72	36582	36582	21517	21517	89847	89847		3.31			1530	9	141	2	0	0	0	42	0	UID2982	k__Bacteria	p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae		1.549277	1530			88.0	44.228229498299996	7.813765989760001	2.42188205682	2.1921334645400004	2142.11363636	1851.65080175
KR13_N2.089.2k	KR13_N2.089.2k	o__Actinomycetales (UID1697)	387	330	193	95.16	0.52	0.0	3004018	0	57	57	121792	121792	52702	52702	419987	419987		1.11			2786	12	317	1	0	0	0	42	0	UID1704	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae	unresolved		3.004018	2786			39.0	62.1752168903	3.9191909334599995	2.64822361538	0.335984346504	2545.46153846	299.166692764
KR13_N2.090.2k	KR13_N2.090.2k	k__Bacteria (UID3060)	138	338	246	61.38	7.93	0.0	1376932	0	127	127	38182	38182	10841	10841	87705	87705		2.28			1384	110	201	27	0	0	0	42	0	UID3061	k__Bacteria;p__Proteobacteria	c__Epsilonproteobacteria		1.376932	1384			115.0	34.943415927	5.4594829941	1.85581446087	0.33522332746399996	1927.9826087000001	362.684243616
KR13_N2.091.2k	KR13_N2.091.2k	k__Bacteria (UID203)	5449	104	58	53.21	0.0	0.0	2079157	0	362	362	7646	7646	5743	5743	37469	37469		1.95			2060	65	39	0	0	0	0	5	0	UID2569	k__Bacteria	unresolved		2.079157	2060			434.0	42.2046735765	6.722022180040001	4.14964352535	1.51584708863	3614.12903226	1217.82754635
KR13_N2.092.2k	KR13_N2.092.2k	p__Euryarchaeota (UID49)	95	228	153	64.63	6.11	41.18	3126042	0	654	654	5324	5324	4779	4779	65018	65018		4.65			3888	67	153	5	2	1	0	34	2	UID60	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales	f__;g__;s__		3.126042	3888			11.0	41.0744786565	2.19916782413	3.2719419090900006	1.1229297856799998	3063.18181818	781.250957024
KR13_N2.093.2k	KR13_N2.093.2k	k__Bacteria (UID203)	5449	104	58	59.48	19.83	35.71	3344960	0	994	994	3313	3313	3365	3365	46280	46280		2.07			3878	62	32	8	2	0	0	3	1	UID1577	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas_flavigena	unresolved		3.34496	3878			5.0	73.0464742615	1.53791066194	4.118790799999999	0.317080265259	3814.8	301.964501225
KR13_N2.094.2k	KR13_N2.094.2k	k__Bacteria (UID203)	5449	104	58	21.63	2.35	0.0	476631	0	152	152	2960	2960	3135	3135	9392	9392		1.36			589	84	15	5	0	0	0	6	3	UID2307	k__Bacteria	p__Chloroflexi		0.476631	589			23.0	55.9597818041	5.95590811758	3.9070339565199994	1.7333307660799997	3352.7826087	1254.52443636
KR13_N2.095.2k	KR13_N2.095.2k	k__Bacteria (UID203)	5449	104	58	89.94	36.21	0.0	2714550	0	304	304	17347	17347	8929	8929	65819	65819		2.36			2807	9	54	29	12	0	0	18	19	UID2982	k__Bacteria	p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae		2.71455	2807			88.0	44.228229498299996	7.813765989760001	2.42188205682	2.1921334645400004	2142.11363636	1851.65080175
KR13_N2.096.2k	KR13_N2.096.2k	k__Bacteria (UID1453)	901	171	117	73.22	1.28	50.0	1748439	0	303	303	7234	7234	5770	5770	27001	27001		2.38			1757	39	130	2	0	0	0	40	0	UID1454	k__Bacteria;p__Actinobacteria;c__Actinobacteria	unresolved		1.7484389999999999	1757			732.0	64.747463765	6.97303493583	4.4381657172099995	2.15864758581	4122.23224044	1980.73954993
KR13_N2.097.2k	KR13_N2.097.2k	k__Bacteria (UID203)	5449	104	58	94.83	9.8	15.0	3828491	0	266	266	30768	30768	14392	14392	202710	202710		6.55			3643	4	80	20	0	0	0	32	11	UID1454	k__Bacteria;p__Actinobacteria;c__Actinobacteria	unresolved		3.8284910000000005	3643			732.0	64.747463765	6.97303493583	4.4381657172099995	2.15864758581	4122.23224044	1980.73954993
